Species,Peak Freq (Hz),Q1 Freq (Hz),Q3 Freq (Hz),IQR BW (Hz),Freq 5% (Hz),Freq 95% (Hz),BW 90% (Hz)
CLRA,2601.6,2437.5,2976.6,539.1,1851.6,4031.2,2179.7
CLRA,2882.8,2671.9,3234.4,562.5,1992.2,4125,2132.8
CLRA,1500,1593.8,2953.1,1359.4,1500,4804.7,3304.7
CLRA,2507.8,2507.8,3656.2,1148.4,1664.1,4851.6,3187.5
CLRA,2953.1,2765.6,3703.1,937.5,2015.6,4453.1,2437.5
CLRA,2671.9,2671.9,3281.2,609.4,2273.4,4078.1,1804.7
CLRA,2601.6,2601.6,3632.8,1031.2,2320.3,4664.1,2343.8
CLRA,2484.4,2484.4,2648.4,164.1,2085.9,3843.8,1757.8
CLRA,2578.1,2250,3304.7,1054.7,1640.6,4640.6,3000
CLRA,2718.8,2695.3,3375,679.7,2085.9,4570.3,2484.4
CLRA,2671.9,2554.7,2835.9,281.2,2085.9,3421.9,1335.9
CLRA,2929.7,2531.2,3281.2,750,1945.3,3515.6,1570.3
CLRA,2648.4,2578.1,3304.7,726.6,1828.1,4593.8,2765.6
CLRA,3023.4,2460.9,3375,914.1,1617.2,3914.1,2296.9
CLRA,2835.9,2554.7,2882.8,328.1,1875,3070.3,1195.3
CLRA,2765.6,2203.1,2906.2,703.1,1757.8,3492.2,1734.4
CLRA,2367.2,2367.2,2789.1,421.9,1992.2,3328.1,1335.9
CLRA,3023.4,2226.6,2929.7,703.1,1945.3,3304.7,1359.4
CLRA,3468.8,3000,3492.2,492.2,2226.6,4429.7,2203.1
CLRA,2648.4,2226.6,2718.8,492.2,1851.6,3023.4,1171.9
CLRA,2671.9,2578.1,3445.3,867.2,1804.7,4640.6,2835.9
CLRA,3281.2,2390.6,3445.3,1054.7,1804.7,4453.1,2648.4
CLRA,2718.8,2296.9,3000,703.1,1664.1,4453.1,2789.1
CLRA,2742.2,2226.6,3000,773.4,1687.5,4500,2812.5
CLRA,2367.2,2367.2,3070.3,703.1,1968.8,4429.7,2460.9
CLRA,2835.9,2789.1,3046.9,257.8,1992.2,3820.3,1828.1
CLRA,1734.4,1781.2,3375,1593.8,1546.9,4664.1,3117.2
CLRA,2578.1,2554.7,3796.9,1242.2,2414.1,4851.6,2437.5
CLRA,2601.6,2648.4,3703.1,1054.7,2085.9,4546.9,2460.9
CLRA,2765.6,2601.6,3351.6,750,2296.9,4804.7,2507.8
CLRA,2648.4,2648.4,3609.4,960.9,2390.6,4617.2,2226.6
CLRA,2460.9,2437.5,3328.1,890.6,1640.6,4570.3,2929.7
CLRA,3351.6,2343.8,3234.4,890.6,1640.6,4031.2,2390.6
CLRA,2695.3,2695.3,3585.9,890.6,1945.3,4218.8,2273.4
CLRA,2648.4,2625,2789.1,164.1,2414.1,3421.9,1007.8
CLRA,2531.2,2484.4,3070.3,585.9,1828.1,3609.4,1781.2
CLRA,2718.8,2250,2906.2,656.2,1875,3656.2,1781.2
CLRA,2976.6,2179.7,3562.5,1382.8,1945.3,4945.3,3000
CLRA,2742.2,2320.3,2765.6,445.3,2015.6,3140.6,1125
CLRA,2906.2,2390.6,2906.2,515.6,1992.2,3140.6,1148.4
CLRA,2554.7,2484.4,2859.4,375,2250,3281.2,1031.2
CLRA,2812.5,2296.9,2812.5,515.6,1968.8,3234.4,1265.6
CLRA,3468.8,2039.1,3468.8,1429.7,1875,4406.2,2531.2
CLRA,2437.5,2343.8,2859.4,515.6,1875,3656.2,1781.2
CLRA,3515.6,2695.3,3515.6,820.3,2250,4312.5,2062.5
CLRA,3281.2,2554.7,3304.7,750,1804.7,4664.1,2859.4
CLRA,1500,1828.1,3210.9,1382.8,1500,4546.9,3046.9
CLRA,2789.1,2554.7,3117.2,562.5,1828.1,4687.5,2859.4
CLRA,2601.6,2578.1,3093.8,515.6,2132.8,4546.9,2414.1
CLRA,2695.3,2695.3,3093.8,398.4,2273.4,3937.5,1664.1
CLRA,1734.4,1757.8,3046.9,1289.1,1523.4,4523.4,3000
CLRA,2718.8,2578.1,3750,1171.9,2156.2,4828.1,2671.9
CLRA,2835.9,2765.6,3492.2,726.6,2250,4148.4,1898.4
CLRA,2953.1,2742.2,3304.7,562.5,2320.3,3867.2,1546.9
CLRA,2718.8,2531.2,3515.6,984.4,2320.3,4664.1,2343.8
CLRA,2554.7,2531.2,2765.6,234.4,1992.2,3726.6,1734.4
CLRA,2367.2,2343.8,3304.7,960.9,1687.5,4757.8,3070.3
CLRA,2601.6,2601.6,3468.8,867.2,2250,4007.8,1757.8
CLRA,2671.9,2578.1,2789.1,210.9,2203.1,4523.4,2320.3
CLRA,3445.3,2437.5,3375,937.5,1828.1,3609.4,1781.2
CLRA,2671.9,2414.1,2859.4,445.3,1875,3679.7,1804.7
CLRA,2953.1,2742.2,3703.1,960.9,2156.2,4453.1,2296.9
CLRA,2039.1,2062.5,2929.7,867.2,1968.8,3117.2,1148.4
CLRA,2929.7,2250,2906.2,656.2,1945.3,3257.8,1312.5
CLRA,2671.9,2390.6,2695.3,304.7,2250,3140.6,890.6
CLRA,2296.9,2273.4,3046.9,773.4,1804.7,3375,1570.3
CLRA,3351.6,3187.5,4664.1,1476.6,1945.3,4945.3,3000
CLRA,2906.2,2179.7,2929.7,750,1875,3632.8,1757.8
